Open,High,Low,Close,Date
2060,2074,2048,2057.75,01/08/2014 12:00:00 AM
2068,2108,2044,2093.2,04/08/2014 12:00:00 AM
2102.35,2158.9,2098.1,2155.1,05/08/2014 12:00:00 AM
2160.65,2177,2135,2141.95,06/08/2014 12:00:00 AM
2149.35,2152.15,2116.3,2140,07/08/2014 12:00:00 AM
2125,2129,2109.7,2121.35,08/08/2014 12:00:00 AM
2140,2144,2104,2129.2,11/08/2014 12:00:00 AM
2135.15,2142,2121.45,2139.35,12/08/2014 12:00:00 AM
2130,2150,2121.4,2142.5,13/08/2014 12:00:00 AM
2150,2162.35,2112.45,2134.95,14/08/2014 12:00:00 AM
2134.85,2161.95,2134.85,2142.65,18/08/2014 12:00:00 AM
2140.1,2209.95,2136.15,2195.3,19/08/2014 12:00:00 AM
2208,2214,2185.15,2198.05,20/08/2014 12:00:00 AM
2202.2,2275.75,2198.75,2267.3,21/08/2014 12:00:00 AM
2270,2279.35,2239.25,2263,22/08/2014 12:00:00 AM
2264,2266.1,2243,2254.15,25/08/2014 12:00:00 AM
2249.95,2288,2224,2257.4,26/08/2014 12:00:00 AM
2268.35,2303.55,2268.35,2279.55,27/08/2014 12:00:00 AM
2286,2304.55,2255,2259.75,28/08/2014 12:00:00 AM
2260.3,2298,2251.5,2262.9,01/09/2014 12:00:00 AM
2255,2305.2,2250.05,2258.15,02/09/2014 12:00:00 AM
2270.55,2279.6,2222.2,2229.15,03/09/2014 12:00:00 AM
2228,2312,2207,2301.65,04/09/2014 12:00:00 AM
2306.15,2347,2280.95,2335.2,05/09/2014 12:00:00 AM
2351,2380,2335,2361.3,08/09/2014 12:00:00 AM
2362.3,2373,2317.5,2325.2,09/09/2014 12:00:00 AM
2340,2365,2317.8,2351.35,10/09/2014 12:00:00 AM
2360,2372,2321.65,2341.8,11/09/2014 12:00:00 AM
2342.3,2363,2321,2346.1,12/09/2014 12:00:00 AM
2345,2350,2316.8,2330.6,15/09/2014 12:00:00 AM
2330.6,2356.05,2295,2300.75,16/09/2014 12:00:00 AM
2315,2330,2301.5,2315.15,17/09/2014 12:00:00 AM
2315.5,2404.8,2306.7,2395.5,18/09/2014 12:00:00 AM
2395.75,2426.9,2367.95,2410.35,19/09/2014 12:00:00 AM
