Open,High,Low,Close,Date
81.54,83.36,80.66,82.7,31/03/2014 12:00:00 AM
83.45,83.75,81.08,82.1,01/04/2014 12:00:00 AM
82.95,84.45,81.99,84.14,02/04/2014 12:00:00 AM
84.01,84.36,81.6,82.51,03/04/2014 12:00:00 AM
82.1,84.88,81.64,84.44,04/04/2014 12:00:00 AM
84.37,86.4,84.12,85.6,07/04/2014 12:00:00 AM
85.78,89.6,85.78,89.19,09/04/2014 12:00:00 AM
89.6,91.1,88.9,89.39,10/04/2014 12:00:00 AM
88.8,90.04,87.57,88.59,11/04/2014 12:00:00 AM
89,89.14,82.67,83.9,15/04/2014 12:00:00 AM
83.9,85,80.8,81.55,16/04/2014 12:00:00 AM
82,83.6,81.89,83.38,17/04/2014 12:00:00 AM
83.6,87.98,83.6,87.11,21/04/2014 12:00:00 AM
87.7,88.66,86.55,86.86,22/04/2014 12:00:00 AM
87.8,89.14,87.12,88.31,23/04/2014 12:00:00 AM
88.98,93.9,88.4,93.61,25/04/2014 12:00:00 AM
93.96,94.98,91.31,92.63,28/04/2014 12:00:00 AM
92.83,93.54,89.58,90.15,29/04/2014 12:00:00 AM
90.29,90.98,85.77,88.14,30/04/2014 12:00:00 AM
88.8,90.08,88.12,88.71,02/05/2014 12:00:00 AM
88.6,89.5,87.34,87.87,05/05/2014 12:00:00 AM
88.1,89.75,88.1,89.2,06/05/2014 12:00:00 AM
89.2,89.62,86.98,87.27,07/05/2014 12:00:00 AM
87.74,88.96,87.43,88.59,08/05/2014 12:00:00 AM
88,99.56,88,96.79,09/05/2014 12:00:00 AM
97.8,100.4,97.59,98.7,12/05/2014 12:00:00 AM
100.24,107.16,99.88,103.9,13/05/2014 12:00:00 AM
104.45,106.16,103.16,104.44,14/05/2014 12:00:00 AM
105.02,106.92,103.74,104.67,15/05/2014 12:00:00 AM
107.08,117.6,106.22,108.82,16/05/2014 12:00:00 AM
110.1,114.17,110,112.9,19/05/2014 12:00:00 AM
114.13,114.47,109.06,109.54,20/05/2014 12:00:00 AM
110,110.78,105.49,106.92,21/05/2014 12:00:00 AM
107.76,112.32,107.76,111.61,22/05/2014 12:00:00 AM
112.2,113.4,110.43,112.83,23/05/2014 12:00:00 AM
113.8,116.71,109.05,110.45,26/05/2014 12:00:00 AM
110.28,111.14,106.1,109.5,27/05/2014 12:00:00 AM
109.64,113.25,109.4,112.21,28/05/2014 12:00:00 AM
111.99,112.35,107.53,109.98,29/05/2014 12:00:00 AM
112.06,115.25,111.1,113.89,30/05/2014 12:00:00 AM
114.8,115.48,112.2,115,02/06/2014 12:00:00 AM
116,117.2,113.63,115.75,03/06/2014 12:00:00 AM
116,116.99,115.17,116.23,04/06/2014 12:00:00 AM
116.2,117.57,113.89,114.85,05/06/2014 12:00:00 AM
116,117.06,115.12,116.21,06/06/2014 12:00:00 AM
117,117.2,113.42,113.86,09/06/2014 12:00:00 AM
113.5,114.2,110.44,113.39,10/06/2014 12:00:00 AM
113.45,113.9,109.61,110.97,11/06/2014 12:00:00 AM
111.26,111.61,108,109.07,12/06/2014 12:00:00 AM
109.23,110.4,104.82,105.48,13/06/2014 12:00:00 AM
105.6,107.8,101.62,107.4,16/06/2014 12:00:00 AM
106.41,110.8,106.05,110.37,17/06/2014 12:00:00 AM
110.4,111.71,107.83,108.6,18/06/2014 12:00:00 AM
108.21,109.7,107.33,107.87,19/06/2014 12:00:00 AM
107.76,109.12,107.59,108.27,20/06/2014 12:00:00 AM
109.1,110.47,107.54,110.13,23/06/2014 12:00:00 AM
111,111.98,110.53,111.58,24/06/2014 12:00:00 AM
111.6,111.99,108.04,108.38,25/06/2014 12:00:00 AM
108.8,109.5,106.8,107.12,26/06/2014 12:00:00 AM
106.4,107.61,105.2,106.65,27/06/2014 12:00:00 AM
106.65,109.11,106.6,108.38,30/06/2014 12:00:00 AM
108.43,111.64,108.43,111.28,01/07/2014 12:00:00 AM
111.8,113.9,111.8,113.57,02/07/2014 12:00:00 AM
114.46,114.46,111.78,112.4,03/07/2014 12:00:00 AM
112,113,110.04,111.45,04/07/2014 12:00:00 AM
111.6,112.2,108.2,108.51,07/07/2014 12:00:00 AM
108.4,109.46,104.66,105.15,08/07/2014 12:00:00 AM
105.79,106.85,102,102.7,09/07/2014 12:00:00 AM
102.96,109.07,100.92,105.89,10/07/2014 12:00:00 AM
106.2,107.09,101.6,101.99,11/07/2014 12:00:00 AM
102,105.58,100.44,104.79,14/07/2014 12:00:00 AM
105.4,106.7,103.34,106.43,15/07/2014 12:00:00 AM
107.6,108.6,106,108.27,16/07/2014 12:00:00 AM
107.6,110.28,107.4,109.18,17/07/2014 12:00:00 AM
109,111.4,107.47,110.73,18/07/2014 12:00:00 AM
