Open,High,Low,Close,Date
230.67,236.61,229.19,231.26,10/04/2014 12:00:00 AM
231.07,238.19,230.13,233.69,11/04/2014 12:00:00 AM
234.14,234.93,224.98,226.56,15/04/2014 12:00:00 AM
226.56,230.92,223.05,224.73,16/04/2014 12:00:00 AM
226.12,235.27,226.12,234.23,17/04/2014 12:00:00 AM
233.64,237.6,231.66,236.81,21/04/2014 12:00:00 AM
235.37,238.1,231.56,232.8,22/04/2014 12:00:00 AM
235.17,235.17,225.97,228.99,23/04/2014 12:00:00 AM
228.99,234.04,228,230.57,25/04/2014 12:00:00 AM
231.81,231.81,225.62,228.59,28/04/2014 12:00:00 AM
228.89,229.48,223.05,223.89,29/04/2014 12:00:00 AM
225.67,229.28,219.78,223.1,30/04/2014 12:00:00 AM
223.74,227.35,220.18,222.11,02/05/2014 12:00:00 AM
220.77,223.54,219.43,219.98,05/05/2014 12:00:00 AM
221.66,225.77,221.07,222.75,06/05/2014 12:00:00 AM
224.73,224.73,219.88,220.82,07/05/2014 12:00:00 AM
223,224.73,220.52,221.71,08/05/2014 12:00:00 AM
221.76,228.2,221.27,226.56,09/05/2014 12:00:00 AM
229.14,241.41,227.85,239.04,12/05/2014 12:00:00 AM
241.31,248.89,241.31,243.59,13/05/2014 12:00:00 AM
242.45,250.77,241.91,246.16,14/05/2014 12:00:00 AM
248.69,252.2,245.52,248.99,15/05/2014 12:00:00 AM
248.54,261.36,240.37,251.21,16/05/2014 12:00:00 AM
252.75,258.24,247.5,249.78,19/05/2014 12:00:00 AM
250.67,254.58,247.7,249.18,20/05/2014 12:00:00 AM
250.72,251.46,243.54,245.77,21/05/2014 12:00:00 AM
247.5,252.55,241.91,245.82,22/05/2014 12:00:00 AM
245.82,255.42,245.82,253.94,23/05/2014 12:00:00 AM
255.72,265.32,250.47,260.12,26/05/2014 12:00:00 AM
261.36,267,253.59,259.08,27/05/2014 12:00:00 AM
259.92,264.53,250.02,261.95,28/05/2014 12:00:00 AM
262.35,262.35,252.65,255.02,29/05/2014 12:00:00 AM
251.46,260.62,244.53,254.33,30/05/2014 12:00:00 AM
255.42,267.25,255.02,265.77,02/06/2014 12:00:00 AM
265.32,267.1,259.38,261.31,03/06/2014 12:00:00 AM
259.43,263.49,255.42,257.25,04/06/2014 12:00:00 AM
256.51,270.42,254.48,268.49,05/06/2014 12:00:00 AM
270.77,286.8,269.13,281.9,06/06/2014 12:00:00 AM
285.12,295.22,283.98,291.36,09/06/2014 12:00:00 AM
292.55,294.03,277.7,291.51,10/06/2014 12:00:00 AM
293.04,297.94,285.12,293.58,11/06/2014 12:00:00 AM
290.81,310.07,290.57,303.04,12/06/2014 12:00:00 AM
304.33,304.87,287.15,291.41,13/06/2014 12:00:00 AM
290.07,293.04,281.56,283.59,16/06/2014 12:00:00 AM
285.12,301.95,283.54,298.19,17/06/2014 12:00:00 AM
298.98,299.82,288.14,292.84,18/06/2014 12:00:00 AM
295.02,322.79,295.02,313.24,19/06/2014 12:00:00 AM
314.77,323.63,307.89,313.58,20/06/2014 12:00:00 AM
314.82,320.27,303.63,307.15,23/06/2014 12:00:00 AM
309.87,313.04,306.16,308.78,24/06/2014 12:00:00 AM
308.78,318.29,283.29,286.51,25/06/2014 12:00:00 AM
288.98,291.31,277.6,279.82,26/06/2014 12:00:00 AM
282.74,297.64,282.1,295.71,27/06/2014 12:00:00 AM
294.03,300.56,290.57,292.1,30/06/2014 12:00:00 AM
294.97,302.94,292.3,300.12,01/07/2014 12:00:00 AM
301.16,305.32,298.09,302.59,02/07/2014 12:00:00 AM
301.95,311.55,301.95,306.55,03/07/2014 12:00:00 AM
307.89,311.11,301.36,309.52,04/07/2014 12:00:00 AM
309.33,312.35,305.91,310.22,07/07/2014 12:00:00 AM
310.86,312.84,298.53,304.43,08/07/2014 12:00:00 AM
305.91,307.89,293.49,300.66,09/07/2014 12:00:00 AM
300.96,307.05,288.09,296.16,10/07/2014 12:00:00 AM
297.99,303.68,291.8,292.64,11/07/2014 12:00:00 AM
292.05,299.97,285.42,297.99,14/07/2014 12:00:00 AM
299.48,309.38,299.48,308.39,15/07/2014 12:00:00 AM
311.95,321.75,311.36,319.77,16/07/2014 12:00:00 AM
320.76,326.4,317.25,320.46,17/07/2014 12:00:00 AM
317.79,319.87,310.86,317.44,18/07/2014 12:00:00 AM
318.29,318.73,309.97,311.9,21/07/2014 12:00:00 AM
312.39,319.52,309.52,316.9,22/07/2014 12:00:00 AM
319.87,319.87,305.96,309.33,23/07/2014 12:00:00 AM
309.38,310.66,304.67,309.38,24/07/2014 12:00:00 AM
308.88,308.88,289.58,291.65,25/07/2014 12:00:00 AM
292.4,293.98,278.69,280.52,28/07/2014 12:00:00 AM
282.15,294.33,278.69,293.29,30/07/2014 12:00:00 AM
294.82,294.82,287.74,291.26,31/07/2014 12:00:00 AM
290.07,307.84,286.65,298.29,01/08/2014 12:00:00 AM
301.06,306.9,301.01,302.94,04/08/2014 12:00:00 AM
302.94,306.8,299.48,304.92,05/08/2014 12:00:00 AM
305.91,305.91,298.49,299.38,06/08/2014 12:00:00 AM
299.48,301.46,293.24,295.61,07/08/2014 12:00:00 AM
295.02,295.52,290.07,292.05,08/08/2014 12:00:00 AM
295.02,299.97,294.62,297.45,11/08/2014 12:00:00 AM
319.08,322.69,310.76,313.83,12/08/2014 12:00:00 AM
314.33,317.59,306.9,316.06,13/08/2014 12:00:00 AM
316.8,330.86,315.32,328.38,14/08/2014 12:00:00 AM
332.64,361.4,332.34,345.71,18/08/2014 12:00:00 AM
349.47,355.81,342.39,353.97,19/08/2014 12:00:00 AM
353.43,359.17,349.67,355.51,20/08/2014 12:00:00 AM
357.39,359.47,349.12,354.77,21/08/2014 12:00:00 AM
354.42,363.73,353.78,358.58,22/08/2014 12:00:00 AM
357.39,366,357.39,359.37,25/08/2014 12:00:00 AM
348.98,363.33,347.49,361.1,26/08/2014 12:00:00 AM
361.85,370.31,361.85,367.98,27/08/2014 12:00:00 AM
373.33,378.63,370.26,373.92,28/08/2014 12:00:00 AM
377.83,379.17,371.55,373.33,01/09/2014 12:00:00 AM
374.22,376.2,365.81,368.43,02/09/2014 12:00:00 AM
375.21,379.17,371.35,374.86,03/09/2014 12:00:00 AM
374.22,377.19,365.31,366.7,04/09/2014 12:00:00 AM
368.28,373.38,367.19,370.06,05/09/2014 12:00:00 AM
371.25,372.54,364.57,369.07,08/09/2014 12:00:00 AM
370.9,381.4,367.54,380.11,09/09/2014 12:00:00 AM
379.17,385.56,370.26,377.44,10/09/2014 12:00:00 AM
381.79,384.81,378.08,383.13,11/09/2014 12:00:00 AM
383.13,387.29,379.22,384.37,12/09/2014 12:00:00 AM
385.11,385.61,375.46,377.19,15/09/2014 12:00:00 AM
374.22,374.22,351.5,354.12,16/09/2014 12:00:00 AM
361.35,364.22,343.23,361.89,17/09/2014 12:00:00 AM
361.94,374.91,357.19,373.63,18/09/2014 12:00:00 AM
376.2,377.44,361.45,364.37,19/09/2014 12:00:00 AM
368.03,376.65,360.01,375.51,22/09/2014 12:00:00 AM
376.2,377.19,355.91,358.63,23/09/2014 12:00:00 AM
360.36,360.36,347.09,350.61,24/09/2014 12:00:00 AM
351.45,351.45,334.13,339.27,25/09/2014 12:00:00 AM
338.58,353.38,327.69,351.6,26/09/2014 12:00:00 AM
353.08,355.91,346.5,347.89,29/09/2014 12:00:00 AM
345.76,352.44,340.21,341.95,30/09/2014 12:00:00 AM
342.54,345.41,337.74,339.57,01/10/2014 12:00:00 AM
339.97,346.3,335.12,339.62,07/10/2014 12:00:00 AM
339.97,341.65,331.65,336.35,08/10/2014 12:00:00 AM
338.78,343.53,336.85,340.46,09/10/2014 12:00:00 AM
336.7,337.59,320.07,321.35,10/10/2014 12:00:00 AM
320.76,321.75,310.37,318.78,13/10/2014 12:00:00 AM
321.75,323.24,311.85,313.83,14/10/2014 12:00:00 AM
311.8,319.18,298.49,301.31,16/10/2014 12:00:00 AM
299.97,309.92,289.08,306.6,17/10/2014 12:00:00 AM
313.83,319.77,308.09,311.5,20/10/2014 12:00:00 AM
312.84,316.06,308.88,313.19,21/10/2014 12:00:00 AM
316.8,320.76,315.32,319.23,22/10/2014 12:00:00 AM
321.75,322.54,318.29,320.41,23/10/2014 12:00:00 AM
321.75,321.75,313.83,315.17,27/10/2014 12:00:00 AM
311.85,316.75,311.85,313.88,28/10/2014 12:00:00 AM
315.32,327.1,315.32,325.66,29/10/2014 12:00:00 AM
323.73,327.89,321.6,324.27,30/10/2014 12:00:00 AM
325.22,335.12,325.07,331.25,31/10/2014 12:00:00 AM
331.65,332.1,325.76,327.05,03/11/2014 12:00:00 AM
327.69,328.33,317.89,319.62,05/11/2014 12:00:00 AM
319.87,327.15,315.51,324.18,07/11/2014 12:00:00 AM
