Open,High,Low,Close,Date,Volume
578.1,579,563.5,564.85,10/02/2014 12:00:00 AM,80111
567,569.4,562,562.9,11/02/2014 12:00:00 AM,221612
565,570,563.8,569.35,12/02/2014 12:00:00 AM,209091
570,571.05,556.5,557.85,13/02/2014 12:00:00 AM,45327
559,561.5,553.15,560,14/02/2014 12:00:00 AM,44503
560,566,559.1,560.25,17/02/2014 12:00:00 AM,22496
559,566,559,561.6,18/02/2014 12:00:00 AM,26117
563,563,557.1,558.4,19/02/2014 12:00:00 AM,46825
558.4,558.4,554,554.85,20/02/2014 12:00:00 AM,64275
556.5,556.5,552,554.6,21/02/2014 12:00:00 AM,52858
555,557.5,553.6,554.8,24/02/2014 12:00:00 AM,38738
557,557.55,553,554.2,25/02/2014 12:00:00 AM,47224
555,559.45,553.6,554.95,26/02/2014 12:00:00 AM,61074
557,557,543.05,548.8,28/02/2014 12:00:00 AM,76555
550,550,542,543,03/03/2014 12:00:00 AM,62128
545,555,544.35,554.2,04/03/2014 12:00:00 AM,91971
556.45,558.9,550,551.45,05/03/2014 12:00:00 AM,49867
552.5,554.05,547.95,549.85,06/03/2014 12:00:00 AM,65250
550,554.4,548,550.2,07/03/2014 12:00:00 AM,68892
550,559.4,549.05,556.9,10/03/2014 12:00:00 AM,99791
558,563.5,553,560.95,11/03/2014 12:00:00 AM,145998
562.35,565.5,558,559.4,12/03/2014 12:00:00 AM,76326
562,566.95,559.4,561.25,13/03/2014 12:00:00 AM,65637
560.55,560.55,551.75,554.3,14/03/2014 12:00:00 AM,76225
554.95,558.15,551.15,556.35,18/03/2014 12:00:00 AM,92966
556.5,562.5,555.3,561.55,19/03/2014 12:00:00 AM,76182
564.5,574.25,561.9,572.85,20/03/2014 12:00:00 AM,149674
576.5,580.95,570.25,572.9,21/03/2014 12:00:00 AM,123172
571.1,574.75,571.1,572.65,22/03/2014 12:00:00 AM,9376
573.2,583.9,573.2,581.95,24/03/2014 12:00:00 AM,98446
583,593,578,592,25/03/2014 12:00:00 AM,84114
594.45,599,588,590.45,26/03/2014 12:00:00 AM,99661
590,600.9,590,598.55,27/03/2014 12:00:00 AM,107225
599.8,603.45,590.75,597.8,28/03/2014 12:00:00 AM,66835
600,608.35,595.25,603.65,31/03/2014 12:00:00 AM,62231
603.65,607.5,595.5,601.6,01/04/2014 12:00:00 AM,65830
603,605.3,591.7,595.65,02/04/2014 12:00:00 AM,52186
595.65,611.85,591.6,606.9,03/04/2014 12:00:00 AM,81683
609.05,613.4,602,604.25,04/04/2014 12:00:00 AM,96471
610,610,596.7,604.5,07/04/2014 12:00:00 AM,33539
606,610.05,600,608.25,09/04/2014 12:00:00 AM,54521
606,619.85,604.85,617.45,10/04/2014 12:00:00 AM,103219
615.55,618.2,601.55,608.9,11/04/2014 12:00:00 AM,58395
608.9,614.75,595.2,612.3,15/04/2014 12:00:00 AM,91925
614,619,606,607.55,16/04/2014 12:00:00 AM,76378
602.1,613.65,602.1,609.5,17/04/2014 12:00:00 AM,62031
605.9,610.95,597,599.2,21/04/2014 12:00:00 AM,67448
598.85,603.6,593.7,596.3,22/04/2014 12:00:00 AM,68059
596.3,598.25,593.5,596.1,23/04/2014 12:00:00 AM,52552
593.5,597.2,577.55,580.7,25/04/2014 12:00:00 AM,102558
583,588,565.1,580.6,28/04/2014 12:00:00 AM,422658
