Open,High,Low,Close,Date
319.25,324.65,317,319.65,10/04/2014 12:00:00 AM
318,323,316.5,321.9,11/04/2014 12:00:00 AM
322,329.9,321.3,324.65,15/04/2014 12:00:00 AM
326,330,321.5,323.3,16/04/2014 12:00:00 AM
324.55,326.75,321.3,325.1,17/04/2014 12:00:00 AM
325.5,335.75,325,334.85,21/04/2014 12:00:00 AM
334.9,337.7,332,335.3,22/04/2014 12:00:00 AM
337,341.35,335.05,339.1,23/04/2014 12:00:00 AM
339.15,345.4,337.15,341.05,25/04/2014 12:00:00 AM
341.45,343.35,334.95,337.9,28/04/2014 12:00:00 AM
339.6,341.2,330.9,335.15,29/04/2014 12:00:00 AM
340,342.8,323.8,327.65,30/04/2014 12:00:00 AM
328,331,322.15,325.7,02/05/2014 12:00:00 AM
327,327.45,319.15,320.75,05/05/2014 12:00:00 AM
320.05,323,313.6,315.25,06/05/2014 12:00:00 AM
313,316.1,305.7,310.95,07/05/2014 12:00:00 AM
311,315.3,307.15,307.9,08/05/2014 12:00:00 AM
308.5,313.8,304,310.05,09/05/2014 12:00:00 AM
313,319.8,310.9,317.75,12/05/2014 12:00:00 AM
320,325.5,315.15,319.9,13/05/2014 12:00:00 AM
324.7,325.05,320.6,323.45,14/05/2014 12:00:00 AM
325,325.75,318.7,321.55,15/05/2014 12:00:00 AM
325,344.15,325,332.25,16/05/2014 12:00:00 AM
335,344,332,338.3,19/05/2014 12:00:00 AM
339,349.85,339,347.75,20/05/2014 12:00:00 AM
349.45,350,337.1,340.7,21/05/2014 12:00:00 AM
338.55,340,331.45,332.4,22/05/2014 12:00:00 AM
333.4,347.5,333,342.4,23/05/2014 12:00:00 AM
346.2,348.8,336,338.2,26/05/2014 12:00:00 AM
340,340,333.5,335.7,27/05/2014 12:00:00 AM
336.4,344.05,334.8,341.75,28/05/2014 12:00:00 AM
345,349,335.5,338.1,29/05/2014 12:00:00 AM
340,346.5,338,344,30/05/2014 12:00:00 AM
346,364.8,341.65,361.3,02/06/2014 12:00:00 AM
365,366.25,355.55,359.15,03/06/2014 12:00:00 AM
360,361,351.3,353.45,04/06/2014 12:00:00 AM
355,360.2,351.4,355.95,05/06/2014 12:00:00 AM
358,366.75,351.4,355.8,06/06/2014 12:00:00 AM
356.8,363.45,353.45,356.45,09/06/2014 12:00:00 AM
362.5,367,356.6,361.15,10/06/2014 12:00:00 AM
365,365,350.1,354.2,11/06/2014 12:00:00 AM
351.4,352.15,339.7,341.55,12/06/2014 12:00:00 AM
343.9,343.9,329.35,333,13/06/2014 12:00:00 AM
333,335.35,328.1,333.25,16/06/2014 12:00:00 AM
333,340.15,333,339.25,17/06/2014 12:00:00 AM
340,344.7,336,339.65,18/06/2014 12:00:00 AM
342,344.85,336.1,337.5,19/06/2014 12:00:00 AM
339,339.75,334.05,338.3,20/06/2014 12:00:00 AM
339.35,342.6,338,340.9,23/06/2014 12:00:00 AM
342.45,345.25,339.3,340.95,24/06/2014 12:00:00 AM
340,340,332.1,336.35,25/06/2014 12:00:00 AM
337,340.7,335.45,338.65,26/06/2014 12:00:00 AM
338.65,339.3,329.5,331.6,27/06/2014 12:00:00 AM
332.5,338.1,332.5,336.9,30/06/2014 12:00:00 AM
337,341.45,334.8,335.4,01/07/2014 12:00:00 AM
336.15,339.85,336,338.5,02/07/2014 12:00:00 AM
339,341,336,337.35,03/07/2014 12:00:00 AM
341.5,345.2,337.5,338.5,04/07/2014 12:00:00 AM
340,347,339.75,344.6,07/07/2014 12:00:00 AM
344,347,337.6,339.65,08/07/2014 12:00:00 AM
341,344.3,338.25,340.05,09/07/2014 12:00:00 AM
345,345.55,329.4,334.65,10/07/2014 12:00:00 AM
335,337,330.65,335.4,11/07/2014 12:00:00 AM
335,336,326.75,332.05,14/07/2014 12:00:00 AM
332,335,330,334.1,15/07/2014 12:00:00 AM
333.5,338,330,336.25,16/07/2014 12:00:00 AM
336,339.65,335,336.5,17/07/2014 12:00:00 AM
337,339.15,334.2,336.2,18/07/2014 12:00:00 AM
336.7,340.55,334.55,337.05,21/07/2014 12:00:00 AM
339,356.1,339,353.25,22/07/2014 12:00:00 AM
355,356.5,350,354.25,23/07/2014 12:00:00 AM
355,355.85,351.05,354.5,24/07/2014 12:00:00 AM
356,357.65,351.5,354.65,25/07/2014 12:00:00 AM
356.2,356.7,351,354.35,28/07/2014 12:00:00 AM
359.8,373.9,358.5,373,30/07/2014 12:00:00 AM
373.4,375.05,370.35,372.6,31/07/2014 12:00:00 AM
372,386.8,370,379.55,01/08/2014 12:00:00 AM
383,386.7,373.55,376.85,04/08/2014 12:00:00 AM
377.55,380,373.55,374.5,05/08/2014 12:00:00 AM
375,377.3,365.5,367.45,06/08/2014 12:00:00 AM
369,370.9,363.5,366.05,07/08/2014 12:00:00 AM
365,375,361.7,373.7,08/08/2014 12:00:00 AM
375.3,378.9,372.95,376.2,11/08/2014 12:00:00 AM
377,378,368.9,369.9,12/08/2014 12:00:00 AM
371,377.9,365.55,368.3,13/08/2014 12:00:00 AM
367.5,369.75,363.45,365.55,14/08/2014 12:00:00 AM
365,376.65,363.85,376.35,18/08/2014 12:00:00 AM
375.95,384,375.6,376.9,19/08/2014 12:00:00 AM
